dataSource,scientificName,trait,family,year,latitude,longitude,observedMetadataUrl,annotationMethod,occurrenceID,genus,recordedBy,coordinateUncertaintyInMeters,verbatimTrait,modelUri,annotationID,mappedTraits
herbarium-GBIF,Plantago purshii var. spinulosa (Decne. ex DC.) Shinners,flower present,Plantaginaceae,1968,32.42215,-104.435904,https://www.gbif.org/occurrence/3340047800,machine,3340047800,Plantago,Tommy Rosson,4627,flowers,doi:10.5281/zenodo.17079402,20bcdad3-9613-59ec-a622-54d32f86fd74,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago purshii Roem. & Schult.,flower present,Plantaginaceae,1959,29.599248,-102.923354,https://www.gbif.org/occurrence/3340047814,machine,3340047814,Plantago,Ernestene l. Green,12421,flowers,doi:10.5281/zenodo.17079402,22edac14-351a-5cb8-ac0b-f0db3f322101,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago purshii Roem. & Schult.,flower present,Plantaginaceae,1946,36.742921,-98.249967,https://www.gbif.org/occurrence/3340047828,machine,3340047828,Plantago,R. Stratton,6961,flowers,doi:10.5281/zenodo.17079402,5f77f0b1-9491-53ad-82c3-e71ccd6e92a6,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago rhodosperma Decne.,flower present,Plantaginaceae,1965,33.168936,-101.352386,https://www.gbif.org/occurrence/3340047846,machine,3340047846,Plantago,Bob Hutchins,796,flowers,doi:10.5281/zenodo.17079402,b7e7bf92-6b0f-52f3-a6c4-e1d6b67e357b,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago arenaria Waldst. & Kit.,flower present,Plantaginaceae,1925,40.636493,-74.085419,https://www.gbif.org/occurrence/3341253026,machine,3341253026,Plantago,Dana W. Fellows,3036,flowers,doi:10.5281/zenodo.17079402,029cb818-1501-5df1-99ed-0bd96507b023,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago aristata Michx.,flower present,Plantaginaceae,1901,40.538123,-80.199781,https://www.gbif.org/occurrence/3341253049,machine,3341253049,Plantago,J. A. Shafer,3036,flowers,doi:10.5281/zenodo.17079402,52792b83-a3ae-5a23-99dd-614934d0b147,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago lanceolata L.,flower present,Plantaginaceae,1909,40.632326,-74.165144,https://www.gbif.org/occurrence/3341253125,machine,3341253125,Plantago,Arthur Hollick,3036,flowers,doi:10.5281/zenodo.17079402,682596cf-f30a-595d-bc2e-be71573901ef,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago rugelii Decne.,flower present,Plantaginaceae,1879,40.604974,-74.12083,https://www.gbif.org/occurrence/3341253170,machine,3341253170,Plantago,Arthur Hollick,2564,flowers,doi:10.5281/zenodo.17079402,e1d7b6f6-b68a-595f-bd65-f6315ec6a972,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago rugelii Decne.,flower present,Plantaginaceae,1902,40.538123,-80.199781,https://www.gbif.org/occurrence/3341253224,machine,3341253224,Plantago,J. A. Shafer,3036,flowers,doi:10.5281/zenodo.17079402,06a8c095-0897-5d1d-a856-cb98b2965b1b,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago lanceolata L.,flower present,Plantaginaceae,2021,39.502417,-121.539528,https://www.gbif.org/occurrence/3341922384,machine,3341922384,Plantago,Lowell Ahart,,flowers,doi:10.5281/zenodo.17079402,692681bd-b400-5e53-9dac-6dd2a202bc9d,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago virginica L.,flower present,Plantaginaceae,2005,32.186389,-80.806111,https://www.gbif.org/occurrence/3344419671,machine,3344419671,Plantago,"Payne, D.",,flowers,doi:10.5281/zenodo.17079402,77dcd524-3603-5ba2-9ea3-ede5c5cf9127,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
