city_name,latitude,longitude,elevation_m,currently_observed,bloom_years_available,earliest_year,latest_year,notes
Oshima,28.319874,129.396841,265.0,False,52,1953,2025,
Miyakejima,34.085378,139.521277,736.0,False,35,1953,2025,
Hachijojima,33.102494,139.807694,286.0,False,57,1953,2025,
Saigo,32.872892,130.243963,10.0,False,56,1953,2025,
Matsue,35.4723,133.0506,5.0,True,73,1953,2025,
Yonago,35.427641,133.331459,5.0,False,55,1953,2025,
Tottori,35.5014,134.2383,6.0,True,73,1953,2025,
Toyooka,35.544674,134.820113,4.0,False,55,1953,2025,
Maizuru,35.474727,135.386034,9.0,False,61,1953,2025,
Hamada,34.899198,132.079998,7.0,False,55,1953,2025,
Kyoto,35.0116,135.7681,49.0,True,73,1953,2025,
Hikone,35.274407,136.259654,91.0,True,73,1953,2025,
Hiroshima,34.3853,132.4553,11.0,True,73,1953,2025,
Okayama,34.6617,133.935,19.0,True,73,1953,2025,
Kobe,34.6901,135.1955,19.0,True,73,1953,2025,
Osaka,34.6937,135.5023,18.0,True,73,1953,2025,
Sumoto,34.342951,134.895422,7.0,False,50,1953,2025,
Wakayama,34.2261,135.1675,18.0,True,73,1953,2025,
Shiomizumaki,33.8767,132.5633,0.0,False,51,1953,2025,
Nara,34.6851,135.8048,63.0,True,72,1953,2025,
Matsuyama,33.8416,132.7657,31.0,True,73,1953,2025,
Takamatsu,34.3402,134.0434,14.0,True,73,1953,2025,
Uwajima,33.223231,132.560651,6.0,False,39,1953,2025,
Kochi,33.5597,133.5311,8.0,True,72,1953,2025,
Tokushima,34.0658,134.5594,13.0,True,73,1953,2025,
Shimonoseki,33.957712,130.941545,13.0,True,73,1953,2025,
Itsuhara,33.5481,133.2853,137.0,False,57,1953,2025,
Fukuoka,33.5904,130.4017,26.0,True,73,1953,2025,
Saga,33.2494,130.2989,5.0,True,73,1953,2025,
Oita,33.2382,131.6126,10.0,True,73,1953,2025,
Fukue,34.047114,130.915661,5.0,False,57,1953,2025,
Nagasaki,32.7503,129.8779,15.0,True,73,1953,2025,
Kumamoto,32.8031,130.7079,23.0,True,73,1953,2025,
Nobeoka,32.582306,131.664903,11.0,False,37,1953,2025,
Kagoshima,31.5602,130.5581,12.0,True,73,1953,2025,
Miyazaki,31.9077,131.4202,4.0,True,55,1953,2025,
Yakushima,30.347925,130.524483,1315.0,False,1,1953,2025,
Tanegashima,30.591848,130.995895,217.0,False,50,1953,2025,
Naze,28.442638,129.529388,15.0,True,61,1953,2025,Taiwan cherry (Prunus campanulata)
Yonaguni Island,24.455595,122.987606,57.0,False,17,1953,2025,Taiwan cherry (Prunus campanulata)
Ishigaki Island,24.471017,124.238506,207.0,True,70,1953,2025,Taiwan cherry (Prunus campanulata)
Miyakojima,24.805465,125.28113,25.0,True,54,1953,2025,Taiwan cherry (Prunus campanulata)
Kumejima,26.340519,126.805075,8.0,False,35,1953,2025,Taiwan cherry (Prunus campanulata)
Naha,26.2124,127.6809,14.0,True,52,1953,2025,Taiwan cherry (Prunus campanulata)
Nago,26.59196,127.977476,11.0,False,31,1953,2025,Taiwan cherry (Prunus campanulata)
Iriomote Island,24.34637,123.839135,277.0,False,42,1953,2025,Taiwan cherry (Prunus campanulata)
Minami Daito Island,25.8297,131.2342,10.0,True,53,1953,2025,Taiwan cherry (Prunus campanulata)
